profit,comm,equity,day
,,,20161230
,,,20170103
,,,20170104
,,,20170105
,,,20170106
,,,20170109
,,,20170110
,,,20170111
,,,20170112
,,,20170113
,,,20170116
,,,20170117
,,,20170118
,,,20170119
,,,20170120
,,,20170123
,,,20170124
,,,20170125
,,,20170126
,,,20170203
,,,20170206
,,,20170207
,,,20170208
,,,20170209
,,,20170210
,,,20170213
-210.0,0.0,-210.0,20170214
-4295.0,900.0,-5195.0,20170215
-5155.0,1020.0,-6175.0,20170216
-3530.0,1060.0,-4590.0,20170217
-1365.0,70.0,-1435.0,20170220
-865.0,680.0,-1545.0,20170221
3400.0,0.0,3400.0,20170222
-3570.0,0.0,-3570.0,20170223
