profit,comm,equity,day
,,,20161230
,,,20170103
,,,20170104
,,,20170105
,,,20170106
,,,20170109
,,,20170110
,,,20170111
,,,20170112
,,,20170113
,,,20170116
,,,20170117
,,,20170118
,,,20170119
,,,20170120
,,,20170121
,,,20170123
,,,20170124
,,,20170125
,,,20170126
,,,20170203
,,,20170204
,,,20170206
,,,20170207
,,,20170208
,,,20170209
,,,20170210
,,,20170211
,,,20170213
,,,20170214
-1150.0,0.0,-1150.0,20170215
1300.0,400.0,900.0,20170216
575.0,1550.0,-975.0,20170217
25300.0,0.0,25300.0,20170218
-16675.0,0.0,-16675.0,20170220
-9200.0,0.0,-9200.0,20170221
34350.0,675.0,33675.0,20170222
2300.0,0.0,2300.0,20170223
